assignment_id,employee_id,project_id,assignment_role,allocation_percentage,start_date,end_date
ASN-02877,3984,PRJ-1857,Reviewer,25,2019-07-24,
ASN-02878,1779,PRJ-1999,Lead,100,2018-12-22,
ASN-02879,24287,PRJ-1381,Consultant,100,2019-12-16,2022-06-14
ASN-02880,5111,PRJ-1237,Contributor,100,2022-06-30,
ASN-02881,21574,PRJ-0574,Contributor,100,2022-10-07,2023-02-27
ASN-02882,12088,PRJ-0049,Reviewer,100,2022-07-29,2023-07-14
ASN-02883,23763,PRJ-1151,Contributor,100,2020-12-03,2022-10-22
ASN-02884,17509,PRJ-0223,Contributor,50,2020-01-13,
ASN-02885,17082,PRJ-1432,Contributor,50,2022-10-28,2023-08-24
ASN-02886,2180,PRJ-1529,Reviewer,25,2020-01-20,2020-01-26
ASN-02887,9597,PRJ-1820,Contributor,100,2022-01-13,
ASN-02888,5252,PRJ-2325,Contributor,50,2018-01-30,2018-02-18
ASN-02889,9236,PRJ-1462,Contributor,100,2020-06-26,
ASN-02890,18314,PRJ-1131,Reviewer,50,2021-08-24,
ASN-02891,14872,PRJ-1682,Contributor,50,2020-12-23,
ASN-02892,1014,PRJ-2468,Lead,50,2018-01-11,
ASN-02893,16611,PRJ-0375,Contributor,50,2022-01-12,
ASN-02894,23706,PRJ-2121,Lead,100,2021-02-13,
ASN-02895,1829,PRJ-2022,Lead,75,2018-05-24,2018-11-08
ASN-02896,7910,PRJ-1054,Lead,100,2019-05-16,2019-09-07
ASN-02897,5589,PRJ-1890,Contributor,100,2022-01-23,
ASN-02898,13110,PRJ-1824,Reviewer,100,2018-12-16,
ASN-02899,2024,PRJ-1475,Contributor,25,2022-09-01,
ASN-02900,21351,PRJ-2243,Contributor,25,2021-01-06,
ASN-02901,14538,PRJ-1180,Lead,50,2019-12-05,2021-07-07
ASN-02902,5892,PRJ-1065,Contributor,25,2019-01-24,
ASN-02903,1081,PRJ-2071,Contributor,100,2019-10-18,2022-10-15
ASN-02904,5037,PRJ-0360,Contributor,100,2019-03-19,
ASN-02905,15380,PRJ-2042,Reviewer,75,2021-01-08,
ASN-02906,10823,PRJ-1142,Contributor,50,2019-01-21,
ASN-02907,2564,PRJ-1636,Reviewer,50,2018-07-18,
ASN-02908,3293,PRJ-1404,Consultant,75,2019-09-08,
ASN-02909,3587,PRJ-1944,Lead,100,2018-01-31,
ASN-02910,16088,PRJ-0679,Contributor,25,2022-01-06,
ASN-02911,16101,PRJ-2488,Lead,100,2018-04-29,
ASN-02912,20816,PRJ-0007,Contributor,50,2021-03-04,
ASN-02913,23226,PRJ-2469,Contributor,50,2021-06-22,2021-10-29
ASN-02914,6644,PRJ-1592,Contributor,25,2021-01-05,
ASN-02915,3960,PRJ-0833,Contributor,25,2022-07-19,
ASN-02916,11006,PRJ-1811,Contributor,25,2021-12-19,2023-01-15
ASN-02917,10776,PRJ-0914,Lead,100,2021-12-18,
ASN-02918,162,PRJ-2012,Consultant,25,2020-04-08,2022-05-05
ASN-02919,16030,PRJ-1443,Consultant,50,2021-12-06,
ASN-02920,16978,PRJ-1451,Contributor,100,2022-01-09,
ASN-02921,14227,PRJ-1503,Contributor,25,2019-07-24,
ASN-02922,11155,PRJ-0126,Contributor,25,2022-06-10,
ASN-02923,12081,PRJ-2443,Contributor,50,2018-01-07,2019-10-08
ASN-02924,3391,PRJ-0817,Lead,100,2019-01-09,2021-07-15
ASN-02925,5998,PRJ-1830,Lead,100,2019-05-14,
ASN-02926,22739,PRJ-0576,Contributor,100,2020-06-20,2023-06-04
ASN-02927,12694,PRJ-2373,Contributor,75,2020-07-23,2023-01-09
ASN-02928,17048,PRJ-1416,Contributor,100,2022-05-08,2022-05-17
ASN-02929,9325,PRJ-0930,Contributor,100,2020-01-15,
ASN-02930,542,PRJ-1464,Contributor,50,2018-11-20,2020-01-23
ASN-02931,21818,PRJ-0833,Consultant,100,2022-07-19,
ASN-02932,5094,PRJ-1055,Contributor,75,2021-01-27,
ASN-02933,13429,PRJ-1649,Contributor,100,2018-10-04,
ASN-02934,11167,PRJ-1901,Consultant,25,2020-01-07,2020-04-15
ASN-02935,17252,PRJ-1458,Lead,100,2021-01-03,
ASN-02936,16064,PRJ-1400,Contributor,100,2020-01-21,2020-06-26
ASN-02937,10259,PRJ-0443,Contributor,100,2021-06-02,
ASN-02938,16045,PRJ-2123,Contributor,100,2023-01-05,
ASN-02939,5470,PRJ-0557,Reviewer,25,2021-09-05,
ASN-02940,6257,PRJ-1179,Lead,100,2022-11-29,2022-11-30
ASN-02941,10721,PRJ-2038,Contributor,25,2019-12-28,2020-03-19
ASN-02942,1170,PRJ-0363,Reviewer,50,2019-04-27,
ASN-02943,831,PRJ-2496,Contributor,50,2020-05-03,
ASN-02944,1652,PRJ-1258,Contributor,75,2022-11-12,
ASN-02945,17521,PRJ-1842,Contributor,100,2022-02-26,2022-04-19
ASN-02946,19195,PRJ-2310,Contributor,100,2021-01-08,
ASN-02947,9519,PRJ-1851,Contributor,25,2022-01-07,2023-07-06
ASN-02948,13259,PRJ-2173,Reviewer,75,2022-05-05,2022-07-15
ASN-02949,16185,PRJ-0911,Reviewer,50,2019-03-27,
ASN-02950,1020,PRJ-0245,Contributor,50,2022-10-29,
ASN-02951,21622,PRJ-0542,Contributor,25,2022-11-23,2023-12-19
ASN-02952,10029,PRJ-2170,Reviewer,50,2020-01-09,
ASN-02953,12449,PRJ-2173,Reviewer,50,2022-05-11,2022-07-07
ASN-02954,12486,PRJ-1573,Contributor,25,2022-01-02,
ASN-02955,1284,PRJ-2218,Contributor,75,2022-12-29,
ASN-02956,17044,PRJ-0124,Consultant,25,2022-07-31,2022-09-03
ASN-02957,18395,PRJ-1732,Lead,75,2020-01-08,
ASN-02958,24975,PRJ-0786,Lead,50,2022-01-01,2022-01-26
ASN-02959,1734,PRJ-2044,Reviewer,100,2018-10-25,
ASN-02960,18510,PRJ-2249,Contributor,50,2021-03-29,
ASN-02961,18556,PRJ-2417,Lead,100,2021-01-07,
ASN-02962,24651,PRJ-0797,Reviewer,50,2021-10-16,
ASN-02963,16231,PRJ-0077,Contributor,75,2020-01-11,2020-07-04
ASN-02964,14473,PRJ-0059,Reviewer,100,2022-08-28,2022-11-16
ASN-02965,12890,PRJ-2479,Contributor,50,2019-09-16,
ASN-02966,3472,PRJ-1524,Contributor,25,2022-01-26,
ASN-02967,9029,PRJ-1937,Contributor,100,2020-09-23,
ASN-02968,22009,PRJ-2157,Contributor,50,2022-06-20,2023-03-03
ASN-02969,8330,PRJ-1302,Contributor,25,2021-10-20,
ASN-02970,2098,PRJ-0068,Contributor,75,2021-03-27,2022-01-09
ASN-02971,14083,PRJ-2353,Contributor,50,2018-11-30,2021-10-18
ASN-02972,21453,PRJ-1933,Contributor,50,2020-07-30,2020-09-20
ASN-02973,13931,PRJ-0365,Contributor,100,2021-06-18,
ASN-02974,10078,PRJ-0821,Reviewer,100,2022-07-18,2022-11-01
ASN-02975,6398,PRJ-1403,Lead,75,2019-11-29,2022-09-24
ASN-02976,2758,PRJ-2391,Reviewer,100,2018-02-13,
ASN-02977,20305,PRJ-0947,Contributor,100,2022-12-14,2023-07-15
ASN-02978,24571,PRJ-1578,Contributor,50,2023-01-07,2023-06-19
ASN-02979,18285,PRJ-1378,Consultant,75,2019-09-17,
ASN-02980,18995,PRJ-1440,Contributor,100,2021-11-27,
ASN-02981,23285,PRJ-0762,Contributor,100,2021-12-28,2023-09-03
ASN-02982,17834,PRJ-0341,Contributor,100,2021-01-05,
ASN-02983,5018,PRJ-0383,Contributor,100,2018-11-01,2022-06-28
ASN-02984,16371,PRJ-1004,Lead,100,2020-11-15,
ASN-02985,8000,PRJ-1557,Consultant,50,2019-01-01,
ASN-02986,22437,PRJ-0300,Reviewer,100,2021-10-23,
ASN-02987,10196,PRJ-0139,Contributor,50,2021-03-18,2021-07-13
ASN-02988,2097,PRJ-0359,Contributor,100,2020-10-17,
ASN-02989,15434,PRJ-0836,Contributor,25,2020-10-07,
ASN-02990,22789,PRJ-1523,Consultant,100,2018-07-20,
ASN-02991,10596,PRJ-1628,Reviewer,100,2022-01-07,
ASN-02992,15942,PRJ-1983,Contributor,50,2021-05-10,2022-10-01
ASN-02993,19716,PRJ-1304,Reviewer,75,2021-02-17,2021-07-12
ASN-02994,15079,PRJ-0909,Reviewer,25,2020-03-08,2021-12-17
ASN-02995,23847,PRJ-1135,Consultant,100,2020-11-24,2021-01-20
ASN-02996,5106,PRJ-2187,Lead,100,2021-03-03,
ASN-02997,19363,PRJ-0996,Reviewer,100,2022-04-25,
ASN-02998,2840,PRJ-2483,Contributor,25,2021-01-12,
ASN-02999,3385,PRJ-2321,Contributor,50,2021-07-10,
ASN-03000,10852,PRJ-2152,Contributor,100,2022-10-07,
ASN-03001,10054,PRJ-1238,Reviewer,50,2020-11-18,2021-10-17
ASN-03002,13494,PRJ-1785,Contributor,100,2019-11-13,2023-10-20
ASN-03003,17070,PRJ-0165,Contributor,100,2020-09-17,2023-03-07
ASN-03004,14140,PRJ-0999,Consultant,100,2021-01-08,
ASN-03005,7532,PRJ-1308,Contributor,100,2020-05-22,2022-10-30
ASN-03006,4284,PRJ-0657,Reviewer,25,2018-11-19,2019-01-15
ASN-03007,7737,PRJ-2212,Contributor,75,2019-01-04,
ASN-03008,7711,PRJ-1910,Reviewer,100,2020-10-14,2021-01-21
ASN-03009,1620,PRJ-2047,Contributor,100,2018-06-24,
ASN-03010,13976,PRJ-2112,Contributor,100,2018-04-03,
ASN-03011,12836,PRJ-1141,Contributor,100,2019-05-14,2019-06-20
ASN-03012,23253,PRJ-1890,Contributor,100,2022-01-13,
ASN-03013,15262,PRJ-0267,Contributor,75,2022-08-14,
ASN-03014,1432,PRJ-1846,Reviewer,100,2022-01-13,
ASN-03015,9068,PRJ-1709,Contributor,100,2018-06-01,
ASN-03016,4714,PRJ-2294,Contributor,100,2018-05-17,
ASN-03017,9558,PRJ-2443,Contributor,50,2018-01-19,2019-10-08
ASN-03018,9436,PRJ-1511,Contributor,50,2022-01-09,2022-07-07
ASN-03019,4999,PRJ-0476,Lead,50,2018-06-02,
ASN-03020,163,PRJ-0977,Reviewer,100,2021-01-09,
ASN-03021,1975,PRJ-1208,Reviewer,100,2022-03-08,
ASN-03022,19676,PRJ-1044,Reviewer,25,2021-01-14,
ASN-03023,8462,PRJ-1961,Reviewer,50,2021-12-19,
ASN-03024,17016,PRJ-0558,Contributor,50,2018-10-14,2019-01-16
ASN-03025,17290,PRJ-1018,Contributor,50,2021-01-06,
ASN-03026,2015,PRJ-1606,Contributor,25,2022-08-06,
ASN-03027,9834,PRJ-0883,Contributor,25,2020-10-15,2021-03-01
ASN-03028,7897,PRJ-2195,Contributor,75,2019-12-29,
ASN-03029,205,PRJ-0666,Lead,100,2019-03-03,2019-07-13
ASN-03030,16966,PRJ-1772,Consultant,100,2022-01-17,
ASN-03031,22060,PRJ-0864,Contributor,100,2021-02-13,
ASN-03032,9033,PRJ-0582,Lead,50,2018-08-08,
ASN-03033,5348,PRJ-0695,Contributor,75,2022-04-30,2023-10-23
ASN-03034,2644,PRJ-1252,Contributor,25,2020-12-10,
ASN-03035,8018,PRJ-1611,Contributor,50,2019-08-31,
ASN-03036,18682,PRJ-1240,Consultant,100,2021-01-07,
ASN-03037,17259,PRJ-2455,Contributor,100,2022-01-23,2022-12-04
ASN-03038,5561,PRJ-0399,Contributor,100,2018-12-19,2019-10-08
ASN-03039,15893,PRJ-1947,Reviewer,50,2021-02-14,
ASN-03040,14532,PRJ-0715,Contributor,50,2020-04-29,
ASN-03041,17074,PRJ-0704,Contributor,100,2018-04-26,
ASN-03042,4001,PRJ-1715,Reviewer,25,2021-06-15,
ASN-03043,14290,PRJ-1973,Contributor,50,2022-06-04,
ASN-03044,17056,PRJ-0082,Reviewer,100,2019-08-18,2020-01-01
ASN-03045,7928,PRJ-0604,Contributor,75,2022-12-21,
ASN-03046,15563,PRJ-1971,Contributor,25,2019-01-01,
ASN-03047,1172,PRJ-1711,Contributor,100,2022-08-13,2022-12-21
ASN-03048,21976,PRJ-2047,Contributor,50,2021-01-12,
ASN-03049,11919,PRJ-0903,Contributor,100,2019-04-24,
ASN-03050,9136,PRJ-0365,Reviewer,50,2021-06-15,2021-10-11
ASN-03051,6343,PRJ-0163,Lead,100,2021-11-25,
ASN-03052,17834,PRJ-1864,Contributor,100,2021-01-10,
ASN-03053,11930,PRJ-0116,Lead,100,2018-03-05,2022-03-28
ASN-03054,2540,PRJ-2385,Contributor,50,2020-01-01,
ASN-03055,3960,PRJ-0881,Contributor,100,2019-06-16,2019-06-27
ASN-03056,13184,PRJ-0840,Reviewer,25,2018-11-29,2021-02-04
ASN-03057,22670,PRJ-2195,Reviewer,100,2019-12-21,2020-04-30
ASN-03058,5433,PRJ-1347,Reviewer,100,2022-04-07,
ASN-03059,20645,PRJ-2491,Lead,50,2022-01-17,
ASN-03060,18746,PRJ-1037,Contributor,100,2021-01-03,
ASN-03061,22549,PRJ-0943,Contributor,25,2022-09-11,2023-05-18
ASN-03062,20055,PRJ-1725,Reviewer,100,2020-12-05,2023-08-21
ASN-03063,1754,PRJ-2335,Lead,100,2022-09-27,
ASN-03064,24485,PRJ-1138,Contributor,25,2021-03-08,
ASN-03065,18323,PRJ-0022,Contributor,100,2020-09-05,2021-02-19
ASN-03066,24947,PRJ-1750,Lead,75,2019-04-23,
ASN-03067,22361,PRJ-0683,Contributor,100,2022-07-20,
ASN-03068,10124,PRJ-1834,Contributor,50,2019-02-06,2022-01-05
ASN-03069,16377,PRJ-2368,Contributor,100,2021-09-15,
ASN-03070,6589,PRJ-0126,Contributor,75,2022-05-31,
ASN-03071,6305,PRJ-0277,Reviewer,50,2022-06-01,
ASN-03072,7346,PRJ-2000,Contributor,50,2020-08-29,
ASN-03073,24260,PRJ-1228,Contributor,50,2018-02-25,2018-06-14
ASN-03074,23018,PRJ-2242,Reviewer,100,2022-03-20,2022-11-17
ASN-03075,15353,PRJ-0696,Contributor,75,2019-12-13,2023-01-02
ASN-03076,598,PRJ-1310,Lead,100,2021-08-31,2022-07-20
ASN-03077,19447,PRJ-0057,Contributor,100,2018-10-17,2019-12-14
ASN-03078,2337,PRJ-0019,Reviewer,75,2020-09-15,
ASN-03079,9880,PRJ-2312,Contributor,25,2019-03-08,
ASN-03080,573,PRJ-0113,Contributor,100,2020-01-10,
ASN-03081,7522,PRJ-0542,Reviewer,100,2022-11-27,2023-12-19
ASN-03082,6172,PRJ-0579,Contributor,100,2020-11-26,2021-01-29
ASN-03083,23482,PRJ-1089,Lead,50,2021-09-10,
ASN-03084,18475,PRJ-0025,Reviewer,25,2019-08-05,
ASN-03085,13993,PRJ-1573,Contributor,25,2021-10-23,
ASN-03086,22951,PRJ-2049,Contributor,100,2021-11-15,2022-11-03
ASN-03087,11862,PRJ-1573,Contributor,100,2021-10-28,
ASN-03088,12465,PRJ-0141,Contributor,25,2023-01-14,
ASN-03089,21009,PRJ-1768,Contributor,50,2022-10-02,
ASN-03090,1634,PRJ-0648,Reviewer,100,2020-11-06,2021-01-17
ASN-03091,17902,PRJ-2236,Contributor,100,2022-04-09,
ASN-03092,12486,PRJ-0201,Consultant,50,2022-01-06,2022-04-11
ASN-03093,10850,PRJ-0257,Contributor,25,2020-01-10,
ASN-03094,3649,PRJ-0547,Reviewer,25,2021-02-19,
ASN-03095,15178,PRJ-2242,Reviewer,25,2022-03-17,2022-11-17
ASN-03096,13141,PRJ-0802,Consultant,75,2019-05-13,2021-07-09
ASN-03097,17922,PRJ-0942,Contributor,100,2022-08-05,
ASN-03098,14358,PRJ-0414,Lead,100,2019-02-21,
ASN-03099,13369,PRJ-2015,Lead,50,2018-05-26,2018-07-05
ASN-03100,3138,PRJ-1382,Contributor,50,2021-01-12,
ASN-03101,23370,PRJ-1099,Contributor,50,2018-03-30,
ASN-03102,98,PRJ-0910,Contributor,50,2021-12-22,
ASN-03103,11408,PRJ-0188,Consultant,100,2019-10-06,
ASN-03104,12723,PRJ-2016,Contributor,100,2018-03-05,2019-02-15
ASN-03105,12925,PRJ-1314,Consultant,25,2021-01-11,
ASN-03106,3751,PRJ-2093,Lead,25,2018-02-10,2021-07-17
ASN-03107,8536,PRJ-2131,Contributor,50,2020-01-08,
ASN-03108,24559,PRJ-1147,Contributor,75,2020-07-22,
ASN-03109,24488,PRJ-0358,Lead,100,2020-07-10,2021-08-15
ASN-03110,21798,PRJ-1552,Contributor,100,2019-01-28,2020-11-09
ASN-03111,4667,PRJ-1090,Contributor,100,2022-03-11,
ASN-03112,16010,PRJ-1681,Contributor,100,2021-02-13,
ASN-03113,16995,PRJ-2423,Consultant,100,2019-02-01,
ASN-03114,1728,PRJ-0162,Consultant,25,2019-12-14,
ASN-03115,1855,PRJ-2370,Contributor,100,2022-01-11,2022-03-02
ASN-03116,10801,PRJ-0450,Contributor,100,2020-01-15,
ASN-03117,5056,PRJ-1498,Contributor,100,2022-01-09,
ASN-03118,10272,PRJ-1037,Contributor,75,2020-01-02,
ASN-03119,18709,PRJ-2232,Reviewer,100,2019-08-25,
ASN-03120,12820,PRJ-2159,Contributor,25,2018-05-02,2018-09-11
ASN-03121,9370,PRJ-1951,Contributor,100,2021-10-14,
ASN-03122,9284,PRJ-1314,Consultant,50,2020-07-22,
ASN-03123,13172,PRJ-2343,Contributor,25,2021-06-15,2023-10-18
ASN-03124,5775,PRJ-1239,Reviewer,50,2021-10-18,2022-07-02
ASN-03125,6520,PRJ-0974,Reviewer,100,2018-07-06,
ASN-03126,10984,PRJ-0632,Contributor,50,2022-01-03,2022-03-21
ASN-03127,18134,PRJ-1591,Contributor,100,2022-05-05,
ASN-03128,14940,PRJ-1051,Contributor,100,2018-08-19,2018-12-01
ASN-03129,782,PRJ-1589,Lead,50,2019-12-08,
ASN-03130,16283,PRJ-2369,Contributor,50,2022-12-19,
ASN-03131,23933,PRJ-1694,Contributor,100,2021-08-23,2022-07-27
ASN-03132,6824,PRJ-0437,Reviewer,25,2018-09-12,
ASN-03133,18490,PRJ-1557,Contributor,75,2018-03-11,
ASN-03134,20252,PRJ-1077,Contributor,100,2021-03-13,2021-03-21
ASN-03135,7194,PRJ-1305,Contributor,100,2022-01-15,
ASN-03136,21361,PRJ-2079,Contributor,50,2021-04-03,
ASN-03137,2114,PRJ-2385,Contributor,100,2022-01-11,
ASN-03138,16281,PRJ-0183,Consultant,50,2022-02-07,2023-02-11
ASN-03139,22264,PRJ-1470,Contributor,50,2022-01-09,2022-10-17
ASN-03140,13566,PRJ-1480,Lead,25,2018-10-05,
ASN-03141,20355,PRJ-1590,Consultant,100,2022-03-01,
ASN-03142,10184,PRJ-1588,Reviewer,100,2018-04-04,2019-03-11
ASN-03143,23649,PRJ-0660,Reviewer,50,2019-09-01,
ASN-03144,17962,PRJ-0160,Contributor,100,2022-12-20,2023-04-12
ASN-03145,9204,PRJ-2460,Reviewer,25,2018-07-22,
ASN-03146,18659,PRJ-1012,Contributor,25,2022-01-05,
ASN-03147,21254,PRJ-0053,Reviewer,100,2018-07-25,2018-09-22
ASN-03148,15796,PRJ-2456,Contributor,100,2021-08-15,
ASN-03149,23129,PRJ-1046,Consultant,25,2021-01-07,
ASN-03150,18811,PRJ-1054,Contributor,50,2019-05-17,
ASN-03151,13490,PRJ-2308,Contributor,100,2021-01-02,
ASN-03152,5547,PRJ-1229,Reviewer,100,2020-01-10,
ASN-03153,6853,PRJ-1495,Consultant,50,2020-01-02,2020-05-09
ASN-03154,2552,PRJ-1490,Contributor,25,2022-01-15,
ASN-03155,6412,PRJ-1036,Contributor,50,2021-12-31,
ASN-03156,16392,PRJ-1951,Contributor,100,2021-10-01,
ASN-03157,24472,PRJ-0850,Reviewer,50,2019-01-13,
ASN-03158,18940,PRJ-0354,Contributor,100,2022-04-23,
ASN-03159,476,PRJ-1099,Consultant,50,2018-04-04,2018-06-20
ASN-03160,21801,PRJ-1740,Reviewer,100,2019-12-20,2021-05-24
ASN-03161,10404,PRJ-1465,Contributor,50,2021-01-06,2021-02-12
ASN-03162,7240,PRJ-0991,Contributor,75,2022-01-15,
ASN-03163,6711,PRJ-1265,Reviewer,100,2018-11-16,2019-05-08
ASN-03164,21385,PRJ-1885,Contributor,50,2022-07-15,2022-10-10
ASN-03165,21039,PRJ-1810,Reviewer,25,2019-09-14,
ASN-03166,8079,PRJ-2342,Contributor,25,2020-05-22,2021-06-05
ASN-03167,22448,PRJ-2257,Reviewer,50,2021-03-29,
ASN-03168,2286,PRJ-1112,Lead,100,2023-01-14,
ASN-03169,5224,PRJ-0818,Consultant,100,2021-09-22,
ASN-03170,13522,PRJ-1800,Reviewer,100,2022-02-14,2023-05-28
ASN-03171,14890,PRJ-1961,Contributor,100,2021-12-13,
ASN-03172,6972,PRJ-2438,Contributor,100,2020-08-25,
ASN-03173,19910,PRJ-2373,Contributor,25,2020-07-23,2023-01-09
ASN-03174,11532,PRJ-0889,Lead,50,2018-06-21,2022-05-10
ASN-03175,14722,PRJ-1856,Contributor,100,2019-04-16,
ASN-03176,19207,PRJ-1181,Lead,25,2021-03-03,
ASN-03177,4944,PRJ-0668,Contributor,100,2022-01-14,
ASN-03178,6531,PRJ-0633,Contributor,100,2019-02-06,
ASN-03179,11117,PRJ-1643,Contributor,50,2019-01-20,2019-03-31
ASN-03180,259,PRJ-0137,Consultant,100,2022-10-12,
ASN-03181,283,PRJ-1947,Consultant,50,2021-02-06,
ASN-03182,13938,PRJ-1698,Reviewer,100,2019-04-03,2023-07-13
ASN-03183,1899,PRJ-0428,Contributor,100,2022-01-07,
ASN-03184,4136,PRJ-1476,Contributor,25,2022-01-15,2023-02-22
ASN-03185,6630,PRJ-0819,Contributor,100,2020-06-21,
ASN-03186,11169,PRJ-2189,Reviewer,75,2020-04-13,
ASN-03187,19585,PRJ-1107,Reviewer,100,2022-08-03,
ASN-03188,21495,PRJ-2225,Lead,75,2018-07-24,
ASN-03189,23552,PRJ-0198,Contributor,75,2022-11-22,
ASN-03190,613,PRJ-1996,Contributor,75,2022-01-04,
ASN-03191,14204,PRJ-2449,Lead,100,2018-03-17,
ASN-03192,17072,PRJ-0471,Contributor,100,2023-01-07,
ASN-03193,20075,PRJ-2266,Consultant,50,2022-01-10,
ASN-03194,2308,PRJ-1949,Lead,25,2019-01-01,
ASN-03195,7134,PRJ-0929,Contributor,50,2018-11-18,2021-08-05
ASN-03196,11206,PRJ-2011,Contributor,100,2022-01-01,
ASN-03197,22894,PRJ-0906,Contributor,50,2022-12-27,
ASN-03198,5907,PRJ-2223,Contributor,100,2019-07-05,2023-10-27
ASN-03199,2592,PRJ-0023,Consultant,100,2021-01-03,2023-01-28
ASN-03200,15150,PRJ-0235,Reviewer,50,2021-03-31,2023-07-15
ASN-03201,12151,PRJ-1125,Contributor,100,2019-02-07,2021-06-10
ASN-03202,7184,PRJ-0929,Contributor,100,2018-11-27,2021-08-05
ASN-03203,21633,PRJ-0523,Contributor,100,2022-10-28,
ASN-03204,10103,PRJ-1809,Contributor,100,2021-10-07,
ASN-03205,21493,PRJ-0431,Contributor,100,2019-01-15,
ASN-03206,19989,PRJ-0793,Contributor,100,2022-11-29,
ASN-03207,17054,PRJ-1630,Lead,25,2022-01-10,
ASN-03208,20749,PRJ-1737,Contributor,100,2020-03-27,2023-12-05
ASN-03209,23714,PRJ-0533,Reviewer,50,2021-06-28,
ASN-03210,1284,PRJ-1747,Contributor,75,2022-10-20,
ASN-03211,924,PRJ-1676,Reviewer,100,2020-01-05,
ASN-03212,1126,PRJ-1317,Reviewer,50,2020-12-07,2023-09-25
ASN-03213,1530,PRJ-0913,Contributor,100,2020-02-29,
ASN-03214,8439,PRJ-1125,Contributor,25,2019-02-07,2021-06-10
ASN-03215,20096,PRJ-1526,Contributor,50,2020-10-20,2023-02-17
ASN-03216,16155,PRJ-1328,Contributor,75,2020-12-10,2021-01-15
ASN-03217,8005,PRJ-1024,Consultant,25,2018-06-15,2018-07-26
ASN-03218,9753,PRJ-1577,Contributor,25,2022-01-13,
ASN-03219,22659,PRJ-1379,Contributor,100,2019-08-11,2022-03-18
ASN-03220,10593,PRJ-1520,Consultant,50,2023-01-14,
ASN-03221,3865,PRJ-1682,Contributor,100,2023-01-12,2023-04-19
ASN-03222,24218,PRJ-1998,Reviewer,100,2022-01-11,
ASN-03223,23173,PRJ-0227,Contributor,100,2022-01-05,
ASN-03224,227,PRJ-1260,Reviewer,100,2021-01-14,
ASN-03225,15037,PRJ-0873,Contributor,50,2021-08-27,2023-09-19
ASN-03226,11740,PRJ-0892,Contributor,50,2019-01-05,2019-05-03
ASN-03227,16649,PRJ-1479,Contributor,50,2022-01-12,
ASN-03228,9588,PRJ-1037,Contributor,100,2019-09-14,
ASN-03229,11750,PRJ-2258,Contributor,100,2022-04-17,
ASN-03230,646,PRJ-0397,Contributor,100,2021-10-17,2022-12-21
ASN-03231,16300,PRJ-1124,Contributor,100,2022-08-29,2022-11-26
ASN-03232,23929,PRJ-2079,Contributor,50,2021-03-25,
ASN-03233,21954,PRJ-0649,Contributor,75,2022-01-07,
ASN-03234,19375,PRJ-0329,Contributor,50,2021-06-01,2022-11-18
ASN-03235,13676,PRJ-1483,Contributor,75,2022-07-19,
ASN-03236,18889,PRJ-0952,Contributor,100,2019-12-23,2020-05-11
ASN-03237,10965,PRJ-2006,Lead,75,2020-09-30,
ASN-03238,16088,PRJ-2017,Reviewer,100,2022-01-11,2022-06-24
ASN-03239,13538,PRJ-1879,Contributor,50,2021-07-31,
ASN-03240,13270,PRJ-1197,Contributor,25,2020-06-16,2021-06-10
ASN-03241,9347,PRJ-1773,Contributor,100,2021-09-07,
ASN-03242,588,PRJ-0162,Consultant,25,2019-12-03,
ASN-03243,12764,PRJ-1752,Contributor,75,2018-02-28,
ASN-03244,9178,PRJ-0776,Contributor,100,2020-10-03,2023-01-31
ASN-03245,4080,PRJ-1828,Reviewer,50,2021-03-15,
ASN-03246,3349,PRJ-2322,Contributor,25,2019-04-11,2019-07-09
ASN-03247,22684,PRJ-1052,Contributor,100,2021-11-03,
ASN-03248,20216,PRJ-2374,Contributor,100,2021-01-23,
ASN-03249,24766,PRJ-0940,Reviewer,100,2018-12-17,2021-10-11
ASN-03250,18100,PRJ-0540,Reviewer,100,2020-09-24,2021-07-20
ASN-03251,10786,PRJ-0822,Contributor,75,2018-09-26,2023-09-01
ASN-03252,12329,PRJ-1462,Reviewer,50,2020-07-05,
ASN-03253,6451,PRJ-1089,Lead,50,2021-09-08,
ASN-03254,13231,PRJ-0356,Contributor,100,2019-01-20,
ASN-03255,5434,PRJ-0235,Contributor,50,2021-03-25,2023-07-15
ASN-03256,1099,PRJ-2275,Contributor,100,2020-01-10,
ASN-03257,7097,PRJ-1549,Consultant,25,2022-01-15,
ASN-03258,18711,PRJ-2097,Reviewer,100,2018-02-02,2019-05-14
ASN-03259,11440,PRJ-0118,Reviewer,50,2023-01-12,
ASN-03260,9088,PRJ-2102,Contributor,25,2022-01-14,
ASN-03261,16022,PRJ-1674,Contributor,25,2021-12-10,2023-05-13
ASN-03262,6417,PRJ-1068,Reviewer,100,2021-01-20,
ASN-03263,6981,PRJ-2101,Contributor,75,2018-05-17,
ASN-03264,23148,PRJ-0558,Contributor,25,2018-10-10,2019-01-16
ASN-03265,18059,PRJ-1816,Reviewer,50,2020-09-14,
ASN-03266,11102,PRJ-2006,Contributor,25,2023-01-15,
ASN-03267,7951,PRJ-0398,Contributor,50,2019-10-15,2022-08-29
ASN-03268,9123,PRJ-0675,Consultant,25,2021-06-06,2022-05-18
ASN-03269,12577,PRJ-0387,Consultant,50,2020-03-27,2022-05-23
ASN-03270,22434,PRJ-2159,Contributor,50,2018-05-07,2018-09-11
